name,R,dR_plus,dR_minus,Prot,dProt,Vsini,dVsini
K00003 ,0.77,0.03,0.02,29.47,0.13,2.26,0.5
K00041 ,1.49,0.04,0.04,24.99,2.19,3.39,0.5
K00063 ,0.88,0.12,0.03,5.41,0.0,4.29,0.5
K00082 ,0.76,0.03,0.04,26.57,0.15,1.92,0.5
K00085 ,1.42,0.02,0.02,7.91,0.15,11.3,0.5
K00103 ,0.86,0.14,0.03,23.16,0.15,2.49,0.5
K00107 ,1.59,0.06,0.06,17.33,0.13,3.39,0.5
K00135 ,1.34,0.1,0.11,12.85,0.05,5.2,0.5
K00139 ,1.15,0.25,0.11,16.96,0.1,3.05,0.5
K00142 ,0.93,0.16,0.04,30.69,0.38,1.92,0.5
K00156 ,0.54,0.06,0.06,34.55,0.12,2.26,0.5
K00180 ,0.89,0.13,0.03,15.73,0.73,3.15,0.81
K00203 ,1.02,0.06,0.06,12.16,0.03,4.75,0.5
K00257 ,1.19,0.02,0.02,7.85,0.05,7.09,0.49
K00261 ,0.9,0.17,0.04,15.38,0.3,0.62,1.09
K00262 ,1.58,0.03,0.03,8.17,1.22,10.58,0.22
K00269 ,1.45,0.03,0.03,5.35,0.14,11.62,0.22
K00271 ,1.36,0.04,0.04,10.12,0.21,7.91,0.5
K00280 ,1.04,0.03,0.03,15.78,2.12,3.52,0.5
K00283 ,0.96,0.16,0.04,17.52,0.13,2.6,0.5
K00285 ,1.7,0.05,0.05,16.83,0.59,4.21,0.77
K00288 ,2.11,0.04,0.04,13.38,0.1,10.06,0.5
K00299 ,0.89,0.12,0.03,22.96,0.05,2.15,0.5
K00304 ,1.01,0.07,0.09,15.81,2.61,1.62,1.28
K00305 ,0.77,0.03,0.04,29.55,4.76,2.15,0.5
K00306 ,0.81,0.11,0.03,17.82,0.02,2.03,0.5
K00315 ,0.69,0.03,0.04,31.43,3.59,2.03,0.5
K00318 ,1.35,0.34,0.15,4.92,0.01,17.29,0.5
K00319 ,2.06,0.08,0.08,19.65,0.15,5.99,0.5
K00323 ,0.84,0.11,0.03,7.67,0.14,4.7,0.3
K00340 ,1.18,0.28,0.14,12.94,0.02,7.46,0.5
K00341 ,0.95,0.17,0.08,18.55,0.05,2.49,0.5
K00345 ,0.75,0.04,0.04,35.05,0.22,2.37,0.5
K00346 ,0.81,0.04,0.06,15.15,0.02,2.94,0.5
K00355 ,1.11,0.18,0.08,10.39,1.35,4.18,0.5
K00361 ,0.94,0.17,0.05,24.5,3.48,2.71,0.5
K00367 ,0.98,0.18,0.06,27.65,3.56,1.04,0.74
K00372 ,0.9,0.13,0.04,11.77,0.02,3.16,0.5
K00377 ,0.96,0.18,0.05,16.75,0.08,2.49,0.5
K00632 ,0.88,0.14,0.05,22.41,0.17,2.03,0.5
K00635 ,1.03,0.14,0.05,9.33,0.56,8.82,0.52
K00640 ,0.92,0.13,0.09,37.41,5.0,1.69,0.5
K00678 ,0.83,0.03,0.05,13.87,0.06,3.21,0.45
K00683 ,1.1,0.22,0.1,16.49,0.17,3.05,0.5
K00714 ,0.89,0.13,0.06,26.86,0.28,1.92,0.5
K00718 ,1.33,0.33,0.21,16.6,0.83,2.53,1.26
K00720 ,0.79,0.04,0.04,9.38,0.03,4.18,0.3
K00896 ,0.84,0.07,0.03,25.07,0.01,3.16,0.5
K00974 ,1.85,0.04,0.04,10.83,0.12,7.13,0.49
K00975 ,1.86,0.02,0.02,12.59,0.04,8.47,1.0
K00984 ,0.87,0.08,0.03,7.98,0.01,5.2,0.5
K00987 ,0.84,0.14,0.03,20.89,0.09,2.71,0.5
K00988 ,0.77,0.07,0.03,12.36,0.06,2.64,0.57
K01150 ,1.1,0.19,0.13,33.04,0.49,2.71,0.5
K01439 ,1.89,0.35,0.47,17.83,0.45,4.86,0.5
K01445 ,1.14,0.33,0.07,5.27,0.03,17.51,0.5
K01628 ,1.11,0.16,0.08,5.76,0.38,11.24,0.27
K01779 ,1.06,0.13,0.05,7.15,0.01,7.41,0.24
K01781 ,0.77,0.05,0.03,10.47,0.08,3.64,0.22
K01797 ,0.78,0.03,0.03,10.83,0.03,3.69,0.23
K01839 ,0.91,0.05,0.06,6.25,0.03,7.41,0.15
K01890 ,1.56,0.04,0.04,6.42,0.04,7.44,0.49
K01916 ,1.26,0.11,0.09,10.32,0.1,6.38,0.39
K02001 ,0.8,0.02,0.03,16.39,0.08,2.44,0.66
K02002 ,1.78,0.27,0.26,10.71,0.36,5.67,0.42
K02026 ,1.42,0.2,0.17,10.05,0.56,4.76,0.5
K02035 ,0.89,0.05,0.02,7.13,0.1,6.35,0.21
K02087 ,1.05,0.19,0.09,13.82,1.14,4.46,0.73
K02261 ,0.83,0.03,0.04,11.37,0.04,2.81,0.55
K02636 ,1.59,0.81,0.47,16.33,1.32,2.4,1.26
